title;link;summary;published
Pakistanissa pidätettiin 300 ääri-islamilaisen johtajan kannattajaa – Naisen vapauttaminen jumalanpilkkatuomiosta nostanut jännitteitä;https://yle.fi/uutiset/3-10524448?origin=rss;Pääkaupunki Islamabadiin odotetaan sunnuntaina mielenosoituksia.;Sat, 24 Nov 2018 12:39:15 +0200
Venatorin pigmenttitehtaan yt-neuvottelut päättyivät Porissa – 253 ihmistä menettää työnsä;https://yle.fi/uutiset/3-10526388?origin=rss;Porissa sijaitseva pigmenttitehdas lakkautetaan. Tehtaalle jää vielä jonkin verran työvoimaa, koska tehdas suljetaan vuoteen 2021 mennessä.;Mon, 26 Nov 2018 14:19:12 +0200
Asiakaskadosta kärsivän helsinkiläisen kauppakeskus Redin johtaja sai potkut;https://yle.fi/uutiset/3-10526349?origin=rss;Kauppakeskus yrittää houkutella asiakkaita ja yrittäjiä muutoksilla viihtyvyyteen.;Mon, 26 Nov 2018 14:15:05 +0200
Etla: Rakennusalalla muhii taantuma – uusia rakennuksia ei aloiteta entiseen tahtiin;https://yle.fi/uutiset/3-10525739?origin=rss;Kuluva vuosi on ollut Suomen teollisuudelle kokonaisuudessaan erinomainen.;Mon, 26 Nov 2018 08:25:54 +0200
Ruotsissa käteisen käymättömyys voi olla jo normaalia – Helsingissä kahvilaketjun testi käteisettömyydestä oli asiakkaille liikaa;https://yle.fi/uutiset/3-10502325?origin=rss;Käteisen käytön väheneminen jatkuu, mutta pankkiautomaatteja on entistä enemmän.;Mon, 26 Nov 2018 05:55:00 +0200
SAK:n barometri: Useampi kuin joka kymmenes nainen kohtaa väkivaltaa työssään – joukossa lähihoitajat, myyjät ja tarjoilijat;https://yle.fi/uutiset/3-10525024?origin=rss;Suurin osa väkivallasta tulee asiakkailta, kertoo SAK tiedotteessa.;Sun, 25 Nov 2018 07:26:12 +0200
Zimbabwen lentoturmassa kuoli Lassila & Tikanojan ja UPM:n johtajia;https://yle.fi/uutiset/3-10524852?origin=rss;Pörssiyhtiöt kertoivat illalla, että Pekka Ojanpää ja Heikki Vappula saivat surmansa perjantaisessa onnettomuudessa.;Sat, 24 Nov 2018 20:42:56 +0200
Nordean verkkopankin ongelmat ohi – Häiriö kesti muutamia tunteja;https://yle.fi/uutiset/3-10524493?origin=rss;Nordea kertoi verkkopalvelun ongelmista ja häiriön poistumisesta Twitterissä.;Sat, 24 Nov 2018 13:15:09 +0200
Oletko vaihtanut ammattia? Kerro meille kokemuksistasi;https://yle.fi/uutiset/3-10518233?origin=rss;Teemme juttua alanvaihdosta ja keräämme lukijoiden tarinoita.;Sat, 24 Nov 2018 09:46:42 +0200
Meksiko ja Kanada keskustelivat USMCA-sopimuksen allekirjoittamisesta;https://yle.fi/uutiset/3-10524309?origin=rss;Kanadan, Meksikon ja Yhdysvaltain välinen vapaakauppasopimus on allekirjoitusta vaille valmis.;Sat, 24 Nov 2018 03:04:18 +0200
Amazonin henkilökunta Euroopassa protestoi Black Friday –päivänä huonoja palkkoja ja työolosuhteita vastaan;https://yle.fi/uutiset/3-10524304?origin=rss;Työntekijät vaativat Amazonilta parempia palkkoja ja työolosuhteita.;Sat, 24 Nov 2018 02:11:03 +0200
Redin asiakaskato ei ole poikkeuksellinen, kommentoi kilpailija – Kamppiakin haukuttiin, mutta nyt se vetää eniten asiakkaita koko maassa;https://yle.fi/uutiset/3-10520497?origin=rss;Pääkaupunkiseudun suurten kauppakeskusten ensimmäiset vuodet ovat poikkeuksetta olleet vaikeuksien sävyttämiä.;Fri, 23 Nov 2018 19:30:00 +0200
"WTO: G20-maiden kaupan esteet kasvavat ennätysvauhtia – Pääjohtaja: ""Antavat aihetta vakavaan huoleen hallituksille""";https://yle.fi/uutiset/3-10522811?origin=rss;Jos nykymeno jatkuu, talouden lisääntyvät riskit uhkaavat kasvua, työpaikkoja ja kuluttajahintoja kaikkialla maailmassa, varoittaa Maailman kauppajärjestö WTO.;Fri, 23 Nov 2018 15:09:22 +0200
"Independent-lehti paheksuu turkistarhauksen ""ulkoistamista"" Britanniasta Suomeen, julkaisi kuvia";https://yle.fi/uutiset/3-10522712?origin=rss;Brittilehdistö on nostanut Suomen turkistarhauksen otsikoihin useasti viime aikoina.;Fri, 23 Nov 2018 13:27:50 +0200
Asuinkerrostalo muuttui hotelliksi Rovaniemellä – rakennusvalvonta ei puutu;https://yle.fi/uutiset/3-10522102?origin=rss;Rakennusvalvonnan mukaan vuokraustoiminta ei liity sen toimivallassa oleviin tehtäviin.;Fri, 23 Nov 2018 12:20:43 +0200
Nuorisosäätiötä haetaan konkurssiin – taustalla talousrikollisen vaatimus;https://yle.fi/uutiset/3-10522334?origin=rss;Helsingin käräjäoikeuteen jätetyn konkurssihakemuksen taustalla on liikemies, jota epäillään rikoksista Nuorisosäätiön ex-johtajien talousrikostutkinnassa.;Fri, 23 Nov 2018 12:11:13 +0200
"Opiskelija otti liittymän ja sai heti 340 euron laskun kännykkäfirmalta: ""Luulin sitä huijauskirjeeksi"" – vakuusmaksu koskee arviolta tuhansia suomalaisia";https://yle.fi/uutiset/3-10520155?origin=rss;Arviolta useilta tuhansilta suomalaisilta pyydetään vakuuksia etukäteen, vaikka maksuhäiriöitä ei välttämättä ole.;Fri, 23 Nov 2018 10:30:00 +0200
Millainen siivooja olet – Laske pölyhuisku kädestäsi ja tee testi!;https://yle.fi/uutiset/3-10445942?origin=rss;Tyylejä siivota on yhtä monta kuin on sotkuisia huoneitakin. Puoli seiskan siivoustesti paljastaa sinulle piilevät voimavarasi siivouksen suhteen.;Fri, 23 Nov 2018 07:30:00 +0200
Nämä puolueet sallisivat Carunan verokikkailun – Orpo eduskunnassa: En voi kommentoida yksittäisen verovelvollisen asioita;https://yle.fi/uutiset/3-10521680?origin=rss;Finnwatchin laskelmien mukaan Carunan verokikkailun takia valtio menetti verotuloja viime vuonna noin 12 miljoonaa euroa.;Thu, 22 Nov 2018 21:41:50 +0200
Suomalainen koulutus tähyää entistä voimakkaammin ulkomaille – nyt kohteina Kiina, Venäjä ja Afrikan maat;https://yle.fi/uutiset/3-10520209?origin=rss;Suomalainen opettaminen on tarkoitus tuotteistaa ja myydä valmiina pakettina ulkomaille.;Thu, 22 Nov 2018 19:14:00 +0200
"Kotipizzan myyntiaikeet tulivat yllätyksenä pitkän linjan pizzayrittäjälle – ""Toivon hyvää yhteistyötä""";https://yle.fi/uutiset/3-10521482?origin=rss;Vaasalainen Rami Kangas on toiminut Kotipizza-yrittäjänä 23 vuotta. Hän näkee uuden norjalaisomistajan mahdollisuutena.;Thu, 22 Nov 2018 18:20:00 +0200
Nissan erotti Ghosnin – autoyhtiöiden voimamiestä epäillään taloudellisista väärinkäytöksistä;https://yle.fi/uutiset/3-10520840?origin=rss;Carlos Ghosn on ollut Nissanin ohella myös Renault'n johdossa.;Thu, 22 Nov 2018 14:45:23 +0200
Hotelli ja tornitaloja? Isokarhun kauppakeskukseen kaavaillaan radikaaleja muutoksia Porissa;https://yle.fi/uutiset/3-10520285?origin=rss;Isokarhun kauppakeskus Porin ydinkeskustassa on menettänyt asiakkaita neljä vuotta sitten keskustan läheisyyteen avatulle Puuvillan kauppakeskukselle.;Thu, 22 Nov 2018 13:39:05 +0200
Ex-sisäministeri Päivi Räsänen virkarikosoikeudenkäynnissä: Tajusin, että poliisilla ei ole välineitä selvittää asiaa;https://yle.fi/uutiset/3-10526263?origin=rss;"Tutkintapyynnön tietolähdejutussa tehnyt Räsänen kertoi ""omituisesta"" poliisin laillisuustarkastuksesta, jossa Aarnio kiersi kysymykset.";Mon, 26 Nov 2018 13:53:48 +0200
Ahtisaari luopuu The Elders -ryhmän jäsenyydestä;https://yle.fi/uutiset/3-10526286?origin=rss;Presidentti Martti Ahtisaari liittyi ryhmään syksyllä 2009.;Mon, 26 Nov 2018 13:39:45 +0200
Tutkija: Mariupolin satama on Ukrainalle henkireikä;https://yle.fi/uutiset/3-10526050?origin=rss;Dosentti Arto Luukkanen uskoo, että Venäjä yrittää savustaa Ukrainan pois Asovanmereltä.;Mon, 26 Nov 2018 13:21:12 +0200
Liike Nyt lähtee eduskuntavaalikisaan – Hjallis Harkimo aikoo vetää vaalivankkureita Uudellamaalla;https://yle.fi/uutiset/3-10526219?origin=rss;Harkimo kertoi liikkeen tiedotustilaisuudessa, että se tavoittelee valtakunnallisesti noin 150 ehdokasta.;Mon, 26 Nov 2018 13:16:47 +0200
Italian hallitus taipumassa EU:n budjettikuriin – avainministerit koolla illalla;https://yle.fi/uutiset/3-10526101?origin=rss;EU:n uhkaus käyttää rankaisutoimia näyttää purevan. Italian populistihallitus on antamassa periksi budjettikiistassa.;Mon, 26 Nov 2018 12:24:06 +0200
Presidentti Niinistö Ukrainasta: Tilanteen vakavuus vaatii YK:n koolle;https://yle.fi/uutiset/3-10526076?origin=rss;Sauli Niinistön mukaan Venäjän tulee sallia vapaa merenkulku Kertšinsalmessa jännittyneen tilanteen lieventämiseksi.;Mon, 26 Nov 2018 11:54:44 +0200
"""Syyllistävä sävy"" voinut laskea syntyvyyttä – Raportti: Suomalaisilta tyly vastaanotto ehdotuksille perhevapaiden uudistuksista";https://yle.fi/uutiset/3-10523960?origin=rss;Väestöliiton kyselyn perusteella suomalaiset torjuvat perhevapaiden uudistamisen, ainakin jos se tarkoittaa vapaiden lyhentämistä tai vanhempien kiintiöitä.;Mon, 26 Nov 2018 10:59:57 +0200
Nainen joutuu kuulemaan kiloistaan ja vakuuttelemaan perheonnea – tuore tutkimus kertoo, millaisia vaatimuksia johtaville naispoliitikoille asetetaan;https://yle.fi/uutiset/3-10520165?origin=rss;Politiikan huipulla olevilta naisilta odotetaan naisellista ja pehmeää käytöstä. Naisten kykyä yhdistää vaativa ura ja perhe-elämä epäillään toistuvasti.;Mon, 26 Nov 2018 10:48:00 +0200
"Ay-pomo sanoo kyllästyneensä työnantajapuolen härskiyteen ja irtisanoutui: ""Paskasangon ripa katkesi, kuten Pohjanmaalla sanotaan""";https://yle.fi/uutiset/3-10525751?origin=rss;PAMin Niina Koivuniemi sanoo kyllästyneensä tappelemiseen.;Mon, 26 Nov 2018 09:23:46 +0200
Tuulivoimaa seuraa haaste toisensa perään: tuki hupeni, vero nousi ja kritiikki voimistui;https://yle.fi/uutiset/3-10515933?origin=rss;Jatkossa yhä useampi tuulivoimala joutuu pärjäämään markkinoiden ehdoilla. Se vaikuttanee myös voimalayhtiöiden kokoon ja omistuksen keskittymiseen.;Mon, 26 Nov 2018 07:00:00 +0200
Heikki Hiilamon kolumni: Naiset maksavat edelleen miehiä enemmän  lapsesta aiheutuvista kustannuksista;https://yle.fi/uutiset/3-10522253?origin=rss;Syntyvyyden romahduksella on isot seuraukset. Ne eivät näy vasta vuosien päästä, vaan ne näkyvät jo nyt. Jos ei mitään tehdä, talous halvaantuu. Nyt tarvitaan toimivaa perhepolitiikkaa, kirjoittaa Heikki Hiilamo.;Mon, 26 Nov 2018 06:45:00 +0200
Analyysi: Britannian eronäytelmässä kaikki ei ole sitä, miltä näyttää;https://yle.fi/uutiset/3-10525537?origin=rss;Erosopimusta ei voida muuttaa. EU-johtajat ovat surullisia. Uskokoon ken haluaa, kirjoittaa EU-kirjeenvaihtaja Petri Raivio.;Mon, 26 Nov 2018 05:33:55 +0200
Kiinnostavaa lukemista sunnuntai-iltaan: Helsinki pullollaan 28-vuotiaita, kissan ihmekieli ja USA:n todellinen ensimmäinen nainen;https://yle.fi/uutiset/3-10517306?origin=rss;Luitko jo nämä? Kokosimme sinulle viikon kiinnostavimpia juttuja, jotka saatoit arjen kiireessä ohittaa.;Sun, 25 Nov 2018 18:00:00 +0200
Suomen pääministeri EU-erosopimuksesta: Toivottavasti näitä ei tule lisää;https://yle.fi/uutiset/3-10525297?origin=rss;Pääministeri Juha Sipilä (kesk.) osallistui Suomen edustajana EU-huippukokoukseen, jossa hyväksyttiin Britannian EU-erosopimus.;Sun, 25 Nov 2018 16:10:49 +0200
"Touko Aalto kertoo syksyisen romahduksen syistä Keskisuomalaiselle – ""Olen pelännyt leimautumista ja sitä, miten minuun suhtaudutaan""";https://yle.fi/uutiset/3-10525081?origin=rss;Aalto kuvailee mielen ja kropan romahtaneen syksyllä täysin. Eduskuntaan hän arvelee palaavansa tammikuussa.;Sun, 25 Nov 2018 10:57:59 +0200
Mauno Koiviston hautamuistomerkki paljastetaan – katso suora lähetys kello 11.50 alkaen;https://yle.fi/uutiset/3-10523507?origin=rss;Tänään on kulunut 95 vuotta presidentti Mauno Koiviston syntymästä.;Sun, 25 Nov 2018 09:50:00 +0200
Herätys: Brexit-sopimus hyväksytään, saattohoitoon etsitään tasapuolisuutta, Nancy Pelosi haluaa edustajainhuoneen puhemieheksi;https://yle.fi/uutiset/3-10524662?origin=rss;Lue tästä päivän puheenaiheet lyhyesti. Voit säätää Uutisvahdissa Herätys-ilmoituksia asetuksista.;Sun, 25 Nov 2018 08:30:36 +0200
Yle seurasi hetki hetkeltä: Britannian erosopimus hyväksyttiin – Britannian May parlamentille: Hyväksykää sopimus, uutta ei ole tarjolla;https://yle.fi/uutiset/3-10523556?origin=rss;Komission puheenjohtajan Jean-Claude Juncker briteille: Tämä on paras ja ainoa mahdollinen sopimus.;Sun, 25 Nov 2018 08:18:49 +0200
Vanhan valtauksesta 50 vuotta: Törmäytimme yhteen entisen kapinajohtajan ja nykyiset opiskelija-aktiivit, näin kävi;https://yle.fi/uutiset/3-10523749?origin=rss;Helsingin vanhan ylioppilastalon valtaus nosti opiskelijoiden äänen kuuluviin. Mikä saa nuoret nyt barrikaadeille? Videolla valtaaja kertoo valtauksen saavutuksista.;Sun, 25 Nov 2018 07:56:00 +0200
Valtio osti ministeriöille yhteisen tietojärjestelmän – Puolustusministeriön it-pomo tyrmää: Tietoturva alle minimitason;https://yle.fi/uutiset/3-10523622?origin=rss;Tietojärjestelmä on ministeriöiden “tärkeä ellei tärkein” tiedonhallintajärjestelmä, jossa säilytetään lähes kaikki ministeriöiden ja valtioneuvoston hallinnollinen tieto.;Sat, 24 Nov 2018 17:19:31 +0200
"Ykkösaamulla epäonnea: ""Nyt menivät valot, kuuluukohan äänikään?""";https://yle.fi/uutiset/3-10524421?origin=rss;Tv-studion valot sammuivat puoleksi minuutiksi kesken Vihreän liiton puheenjohtajan haastattelun.;Sat, 24 Nov 2018 11:06:35 +0200
"Sipilä puoluevaltuustolle: ""Omaa tunnelmaani kuvaa parhaiten valtava riittämättömyyden tunne""";https://yle.fi/uutiset/3-10524366?origin=rss;Keskusta aloitti vaalikampanjansa kevään eduskuntavaaleihin Turussa puoluevaltuuston kokouksessa.;Sat, 24 Nov 2018 10:31:57 +0200
"Pekka Haavisto moittii pääministeriä strategisesta hallitusohjelmasta – ""Ihan selvää, että yksityiskohdista pitää sopia""";https://yle.fi/uutiset/3-10524365?origin=rss;Haaviston mukaan hallituksen paketti on ollut monella tavalla levällään.;Sat, 24 Nov 2018 10:31:17 +0200
Herätys: Brexit-intoilijat haikailevat imperiumin aikoja, moni vaikenee seksiriippuvuudestaan, päivästä tulossa aurinkoinen;https://yle.fi/uutiset/3-10524150?origin=rss;Lue tästä päivän puheenaiheet lyhyesti. Voit säätää Uutisvahdissa Herätys-ilmoituksia asetuksista.;Sat, 24 Nov 2018 08:34:48 +0200
Analyysi: Sipilä tempaisi esiin hämmästyttävän luvun työpaikoista – jäikö kevätkesällä todella syntymättä ja täyttämättä yli 62 000 työpaikkaa?;https://yle.fi/uutiset/3-10522427?origin=rss;Sipilän luku perustui työ- ja elinkeinoministeriön mokaan, kirjoittaa politiikan toimittaja Robert Sundman.;Fri, 23 Nov 2018 19:57:14 +0200
"Venäläiset arvostavat hyvinvointia aiempaa enemmän, suurvalta-asemaa vähemmän – ""En usko, että sukupolveni tällä menolla elää eläkeikään asti""";https://yle.fi/uutiset/3-10519607?origin=rss;Hallitus runnoi läpi eläkeikän noston, joka suututti kansalaiset. Asiantuntijan mielestä vallanpitäjät tekivät virheen.;Fri, 23 Nov 2018 16:07:47 +0200
Ylen kysely: Keskustalaiset kyllästyivät kokoomukseen, haluaisivat seuraavaan hallitukseen demarien kanssa – ”Kokoomukselle tekisi hyvää jäädä oppositioon”;https://yle.fi/uutiset/3-10523282?origin=rss;Keskustalaiset antavat puheenjohtaja Juha Sipilälle arvosanaksi hyvän, vaikka puolue kärsii heikoista kannatuslukemista.;Fri, 23 Nov 2018 15:58:23 +0200
